Name,LS,AS,AVG,GP,H,HM,RBI,STL
上本博紀,10,4300,0.422,20,19,1,6,4
鳥谷敬,15,40000,0.232,121,51,1,22,1
坂本誠志郎,3,1600,0.154,15,2,0,1,0
北條史也,6,2000,0.322,62,77,1,20,1
ロサリオ,1,34000,0.242,75,68,8,40,0
江越大賀,4,1600,0.150,29,6,1,1,3
大山悠輔,2,2500,0.274,117,95,11,48,5
山崎憲晴,10,1000,0.222,32,4,0,2,0
糸原健斗,2,1600,0.286,143,152,1,35,6
森越祐人,8,1000,0.125,16,4,0,1,0
長坂拳弥,2,720,0.125,9,1,0,0,0
熊谷敬宥,1,1000,0.231,19,3,0,2,3
梅野隆太郎,5,2500,0.259,132,100,8,47,5
西岡剛,14,7500,0.125,25,5,0,1,0
伊藤隼太,7,1800,0.247,96,37,1,13,0
島田海吏,1,800,0.200,12,7,0,1,0
陽川尚将,5,850,0.252,75,69,6,48,5
岡崎太一,14,1700,0.000,6,0,0,0,0
中谷将大,8,3800,0.230,77,51,5,26,0
植田海,4,550,0.192,104,38,0,1,19
板山祐太郎,3,850,0.257,20,9,1,3,0
俊介,9,5000,0.224,87,41,2,21,1
糸井嘉男,15,40000,0.308,119,129,16,68,22
福留孝介,15,22000,0.280,123,116,14,72,2
高山俊,3,3800,0.172,45,22,1,14,0
原口文仁,9,2000,0.315,82,35,2,19,0
ナバーロ,1,3300,0.276,66,56,3,25,0
